name;category;calories;proteins;fats;carbohydrates
Кефир 1% с маслом;Молочные продукты;50.0;2.94;1.6;3.92
Кефир 1% без масла;Молочные продукты;34.0;3.0;0.65;3.92
Кефир 1% порционный;Молочные продукты;40.0;3.0;1.0;4.0
Кефир 2.5%;Молочные продукты;53.0;2.9;2.5;4.0
Кефир 2.5% отварной;Молочные продукты;50.3;2.9;2.25;3.8
Кефир 2.5% запечённый;Молочные продукты;55.7;2.96;2.62;4.0
Кефир 2.5% тушёный;Молочные продукты;53.0;2.84;2.62;3.84
Кефир 2.5% домашний;Молочные продукты;57.2;2.9;2.8;4.08
Кефир 2.5% лёгкий;Молочные продукты;43.5;2.9;1.75;3.8
Кефир 2.5% классический;Молочные продукты;53.0;2.9;2.5;4.0
Кефир 2.5% с маслом;Молочные продукты;66.2;2.84;4.0;3.92
Кефир 2.5% без масла;Молочные продукты;45.0;2.9;1.62;3.92
Кефир 2.5% порционный;Молочные продукты;53.0;2.9;2.5;4.0
Йогурт натуральный;Молочные продукты;66.0;4.3;3.2;5.0
Йогурт натуральный отварной;Молочные продукты;62.7;4.3;2.88;4.75
Йогурт натуральный запечённый;Молочные продукты;69.3;4.39;3.36;5.0
Йогурт натуральный тушёный;Молочные продукты;66.0;4.21;3.36;4.8
Йогурт натуральный домашний;Молочные продукты;71.3;4.3;3.58;5.1
Йогурт натуральный лёгкий;Молочные продукты;54.1;4.3;2.24;4.75
Йогурт натуральный классический;Молочные продукты;66.0;4.3;3.2;5.0
Йогурт натуральный с маслом;Молочные продукты;82.5;4.21;5.12;4.9
Йогурт натуральный без масла;Молочные продукты;56.1;4.3;2.08;4.9
Йогурт натуральный порционный;Молочные продукты;66.0;4.3;3.2;5.0
Сметана 10%;Молочные продукты;119.0;2.7;10.0;3.9
Сметана 10% отварной;Молочные продукты;113.0;2.7;9.0;3.7
Сметана 10% запечённый;Молочные продукты;125.0;2.75;10.5;3.9
Сметана 10% тушёный;Молочные продукты;119.0;2.65;10.5;3.74
Сметана 10% домашний;Молочные продукты;128.5;2.7;11.2;3.98
Сметана 10% лёгкий;Молочные продукты;97.6;2.7;7.0;3.7
Сметана 10% классический;Молочные продукты;119.0;2.7;10.0;3.9
Сметана 10% с маслом;Молочные продукты;148.8;2.65;16.0;3.82
Сметана 10% без масла;Молочные продукты;101.1;2.7;6.5;3.82
Сметана 10% порционный;Молочные продукты;119.0;2.7;10.0;3.9
Сметана 20%;Молочные продукты;206.0;2.5;20.0;3.4
Сметана 20% отварной;Молочные продукты;195.7;2.5;18.0;3.23
Сметана 20% запечённый;Молочные продукты;216.3;2.55;21.0;3.4
Сметана 20% тушёный;Молочные продукты;206.0;2.45;21.0;3.26
Сметана 20% домашний;Молочные продукты;222.5;2.5;22.4;3.47
Сметана 20% лёгкий;Молочные продукты;168.9;2.5;14.0;3.23
Сметана 20% классический;Молочные продукты;206.0;2.5;20.0;3.4
Сметана 20% с маслом;Молочные продукты;257.5;2.45;32.0;3.33
Сметана 20% без масла;Молочные продукты;175.1;2.5;13.0;3.33
Сметана 20% порционный;Молочные продукты;206.0;2.5;20.0;3.4
Сыр российский;Молочные продукты;363.0;24.1;29.5;0.3
Сыр российский отварной;Молочные продукты;344.8;24.1;26.55;0.28
Сыр российский запечённый;Молочные продукты;381.2;24.58;30.98;0.3
Сыр российский тушёный;Молочные продукты;363.0;23.62;30.98;0.29
Сыр российский домашний;Молочные продукты;392.0;24.1;33.04;0.31
Сыр российский лёгкий;Молочные продукты;297.7;24.1;20.65;0.28
Сыр российский классический;Молочные продукты;363.0;24.1;29.5;0.3
Сыр российский с маслом;Молочные продукты;453.8;23.62;47.2;0.29
Сыр российский без масла;Молочные продукты;308.6;24.1;19.18;0.29
Сыр российский порционный;Молочные продукты;363.0;24.1;29.5;0.3
Сыр голландский;Молочные продукты;352.0;26.0;26.8;0.0
Сыр голландский отварной;Молочные продукты;334.4;26.0;24.12;0.0
Сыр голландский запечённый;Молочные продукты;369.6;26.52;28.14;0.0
Сыр голландский тушёный;Молочные продукты;352.0;25.48;28.14;0.0
Сыр голландский домашний;Молочные продукты;380.2;26.0;30.02;0.0
Сыр голландский лёгкий;Молочные продукты;288.6;26.0;18.76;0.0
Сыр голландский классический;Молочные продукты;352.0;26.0;26.8;0.0
Сыр голландский с маслом;Молочные продукты;440.0;25.48;42.88;0.0
Сыр голландский без масла;Молочные продукты;299.2;26.0;17.42;0.0
Сыр голландский порционный;Молочные продукты;352.0;26.0;26.8;0.0
